blockNo,blockhash,ticket1,winningNumber1,ticket2,winningNumber2
3800000,14052,13497,9,53354,10
3800001,46353,6161,1,46658,2
3800002,5855,6799,15,59448,8
3800003,22012,46267,11,31303,7
3800004,21473,36938,10,12738,2
3800005,64932,24260,4,24222,14
3800006,64208,37201,1,5467,11
3800007,48941,48637,13,42201,9
3800008,8260,65179,11,12551,7
3800009,11254,29458,2,9084,12
3800010,17360,36910,14,41773,13
3800011,52019,17699,3,29812,4
3800012,13393,61330,2,53713,1
3800013,24242,38966,6,7163,11
3800014,18489,28356,4,11057,1
3800015,50337,45975,7,1589,5
3800016,28125,2587,11,314,10
3800017,15518,8671,15,41814,6
3800018,38182,2673,1,55095,7
3800019,1608,19323,11,26562,2
3800020,47729,28210,2,56235,11
3800021,25606,29046,6,39393,1
3800022,31492,29417,9,42392,8
3800023,59867,36155,11,14129,1
3800024,12401,11302,6,9304,8
3800025,29249,60951,7,44635,11
3800026,22150,3792,0,59622,6
3800027,45682,33724,12,48427,11
3800028,12770,8323,3,1489,1
3800029,18042,43884,12,12139,11
3800030,11296,4892,12,63179,11
3800031,26711,54372,4,30930,2
3800032,62290,30278,6,23018,10
3800033,36217,57533,13,65438,14
3800034,49644,41668,4,46153,9
3800035,4027,7559,7,11110,6
3800036,35723,669,13,60753,1
3800037,22199,46659,3,15040,0
3800038,10776,44227,3,24394,10
3800039,60161,48798,14,38507,11
3800040,22576,29327,15,58844,12
3800041,28057,45589,5,48431,15
3800042,48723,30004,4,28713,9
3800043,19067,7582,14,42367,15
3800044,27606,39608,8,41352,8
3800045,55211,41057,1,25443,3
3800046,6625,56736,0,31086,14
3800047,44928,40763,11,49793,1
3800048,44522,11473,1,43346,2
3800049,4430,9168,0,32227,3
3800050,28032,34845,13,60505,9
3800051,35602,9594,10,52269,13
3800052,33722,53508,4,25245,13
3800053,61064,25866,10,29638,6
3800054,64122,25288,8,18315,11
3800055,9436,61079,7,42424,8
3800056,10812,16264,8,56617,9
3800057,37394,57273,9,35734,6
3800058,15394,55378,2,44028,12
3800059,15104,42624,0,6396,12
3800060,48209,54260,4,41031,7
3800061,33031,27988,4,57443,3
3800062,46596,25847,7,11422,14
3800063,43514,39707,11,49046,6
3800064,41301,35817,9,43349,5
3800065,1794,31621,5,53475,3
3800066,20141,10695,7,25464,8
3800067,59698,63800,8,2775,7
3800068,31249,49504,0,1260,12
3800069,3639,35560,8,10500,4
3800070,32520,25567,15,2176,0
3800071,3626,57471,15,51833,9
3800072,38465,47041,1,6306,2
3800073,15996,12182,6,24317,13
3800074,45099,41052,12,9967,15
3800075,16421,26123,11,4623,15
3800076,29809,51285,5,64758,6
3800077,35258,29659,11,9545,9
3800078,24743,22011,11,24923,11
3800079,59443,13109,5,49649,1
3800080,7630,2800,0,60957,13
3800081,43423,33088,0,7498,10
3800082,56306,22227,3,43725,13
3800083,4773,8645,5,62688,0
3800084,12277,21182,14,36074,10
3800085,54469,35458,2,29752,8
3800086,46345,47032,8,25283,3
3800087,27559,7664,0,44703,15
3800088,34953,51448,8,40887,7
3800089,33915,26975,15,9305,9
3800090,61001,48224,0,31411,3
3800091,886,7509,5,9033,9
3800092,41353,19548,12,57835,11
3800093,25392,48089,9,58625,1
3800094,61768,54646,6,14006,6
3800095,44953,63462,6,35589,5
3800096,18389,11249,1,57438,14
3800097,59200,44384,0,39094,6
3800098,53778,17759,15,16534,6
3800099,26354,47857,1,47938,2
3800100,52613,13046,6,61121,1
3800101,25762,29461,5,38374,6
3800102,50203,60841,9,48106,10
3800103,57261,63830,6,53473,1
3800104,45162,62806,6,15143,7
3800105,54080,6240,0,12360,8
3800106,7958,6946,2,36686,14
3800107,64709,28748,12,53123,3
3800108,24286,65521,1,32488,8
3800109,61852,14536,8,48106,10
3800110,2175,60050,2,2983,7
3800111,58250,51061,5,1722,10
3800112,18245,26815,15,19311,15
3800113,24222,28406,6,24910,14
3800114,58979,48955,11,63338,10
3800115,59900,192,0,37133,13
